T,a,b,var_a,var_b,cov_ab,r_chi2,T_c,var_T_c
0.8,3.9375408470058306,0.7679646959574195,2.165944364795274e-05,1.884445611778067e-07,1.96067643818491e-06,541.7240074705463,1.5191828161172356,9.687128619979142e-07
0.9,3.86331855083785,0.7669575346426114,1.0403450340221894e-05,9.984244664483737e-08,9.697388966591886e-07,658.2586624909532,1.4925037258541745,4.727076461427243e-07
1.0,3.8629898916332857,0.7733128552948472,1.3363721894254785e-05,1.3426240221431264e-07,1.257848886523023e-06,810.586959855966,1.4801119491083161,6.088339496526406e-07
1.1,3.853994324570174,0.7775938412250407,9.859933143299212e-06,1.3248648550338133e-07,1.050259939002766e-06,968.0862082042985,1.4685356078927692,3.9255048711980214e-07
1.2,3.931854880412745,0.7931566982700814,1.389773792120259e-05,2.0397880053541052e-07,1.5556882624918356e-06,1538.8484594392762,1.4688069093808698,4.865514837251172e-07
1.5,4.435118446780682,0.8863274803221666,1.1800140173490013e-05,3.0917291570592233e-07,1.760301812874385e-06,365.6652017576269,1.4826451831763579,2.1510068723014475e-07
2.0,4.024869419058591,0.8448580233880896,2.072860549989597e-05,3.5602420180996205e-07,2.51835836161347e-06,150.30318436240833,1.4115435598999821,5.920909449664188e-07
2.5,3.5891769887054448,0.8084988213106123,3.0157769549700567e-05,3.693235105365191e-07,3.10246261510099e-06,139.64536173153442,1.3153511427282003,1.328363692589257e-06
3.0,3.051392799255373,0.7710491796485716,4.1339471982169675e-05,4.18086630811332e-07,3.921205976754635e-06,446.21547994730776,1.1725794006766632,2.488411620290366e-06
3.5,2.7074501998856166,0.7520614941382909,6.335464416623566e-05,5.585374747346374e-07,5.603344090838931e-06,319.32838723353524,1.0666780215252762,4.695219034012417e-06
4.0,2.1976853270431658,0.7223527320548819,8.85347751936355e-05,6.56916739822982e-07,7.226476985075465e-06,558.4310140784656,0.9014515955040802,8.520772346617952e-06
4.5,2.0074193727989305,0.7173132270469759,0.00010741671551688544,6.80671028871564e-07,8.129304915894777e-06,295.90418993431217,0.8291927471104685,1.14738829016912e-05
